sku,handle,name,display_name,category,subcategory,fcc_name,fcc_concentration,fcc_fill_volume,fcc_dosage_form,fcc_cog,retail_price_1mo,retail_price_3mo,retail_price_6mo,fulfillment_type,requires_prescription,subscription_eligible,is_featured,tags,status,admin_note
WI-GLUT-1MO,glutathione,Glutathione Injectable 30mL,Glutathione Injection,Wellness Injection,Detox & Skin,Glutathione,200mg/mL,30mL,Injectable,60.0,149.0,,,direct_ship,True,True,True,"wellness-injection, detox, skin, antioxidant, wellness, upsell",active,
WI-LSB-1MO,lipotropic-super-b,Lipotropic Super B Injectable 10mL,Lipotropic Super B Injection,Wellness Injection,Energy & Metabolism,Lipotropic Super B,,10mL,Injectable,49.0,129.0,99.0,,direct_ship,True,True,True,"wellness-injection, energy, metabolism, b-vitamins, fat-burning, upsell",active,Replaces bioboost-plus handle. Deactivate BioBoost Plus product when this goes live.
WI-LSB-3MO,lipotropic-super-b-3mo,Lipotropic Super B Injectable 30mL,Lipotropic Super B Injection — 3-Month Supply,Wellness Injection,Energy & Metabolism,Lipotropic Super B,,30mL,Injectable,59.0,,99.0,,direct_ship,True,True,False,"wellness-injection, energy, metabolism, b-vitamins, fat-burning, value-pack",active,
WI-LIPOC-1MO,lipo-c,Lipo-C Injectable 10mL,Lipo-C Injection,Wellness Injection,Fat Burning,Lipo-C,,10mL,Injectable,39.5,99.0,,,direct_ship,True,True,False,"wellness-injection, fat-burning, weight-loss, metabolism, lipotropic, upsell",active,Replaces old lipo-c / MIC product. Update variant pricing if handle already exists.
WI-LCAR-1MO,l-carnitine,L-Carnitine (Levocarnitine) Injectable 10mL,L-Carnitine Injection,Wellness Injection,Fat Burning,L-Carnitine (Levocarnitine),500mg/mL,10mL,Injectable,40.0,99.0,,,direct_ship,True,True,False,"wellness-injection, fat-burning, energy, metabolism, muscle, upsell",active,
WI-B12-1MO,vitamin-b12,Vitamin B12 (Methylcobalamin) Injectable 10mL,Vitamin B12 Injection,Wellness Injection,Energy & Metabolism,Vitamin B12 (Methylcobalamin),1mg/mL,10mL,Injectable,28.0,59.0,,,direct_ship,True,True,False,"wellness-injection, energy, metabolism, b12, wellness, upsell",active,Handle already exists in system. Update variant/pricing only.
WI-NAD-1MO,nad-plus,NAD+ (Nicotinamide Adenine Dinucleotide) Injectable 10mL,NAD+ Injection,Wellness Injection,Longevity & Anti-Aging,NAD+ (Nicotinamide Adenine Dinucleotide),100mg/mL,10mL,Injectable,70.0,199.0,,,direct_ship,True,True,True,"wellness-injection, longevity, anti-aging, energy, cellular-health, upsell",active,Handle already exists in system. Update variant to 100mg/mL concentration (upgrade from previous).
WI-SERM-1MO,sermorelin,Sermorelin Injectable 6mL,Sermorelin Injection,Wellness Injection,Peptides & Longevity,Sermorelin,1.5mg/mL,6mL,Injectable,49.0,179.0,,,direct_ship,True,True,True,"wellness-injection, peptide, growth-hormone, anti-aging, recovery, sleep, upsell",active,
